"theme_l1";"theme_l2";"theme_l3";"concept_text_long";"item_name";"variable_label";"source";"measure_wave";"suf_index";"data_collection_a";"mode_a";"item_id";"item_version";"concept_id";"concept_version";"sort_id"
Other activities (incl. NEET);Reasons for being out of education and / or employment;Reasons for non-participation in education;Reason for not being in education;reasnoed1;Health problems (Reason for not being in education);"TREE; Swiss Labor Force Survey (SLFS)";"1, 2";Wave-specific;Base (BQ);CATI;1576;1592;1673;1674;"3030208170                    "
Other activities (incl. NEET);Reasons for being out of education and / or employment;Reasons for non-participation in education;Reason for not being in education;reasnoed2;Did not find a training place (Reason for not being in education);"TREE; Swiss Labor Force Survey (SLFS)";"1, 2";Wave-specific;Base (BQ);CATI;1581;1597;1673;1674;"3030208180                    "
Other activities (incl. NEET);Reasons for being out of education and / or employment;Reasons for non-participation in education;Reason for not being in education;reasnoed3;Found a training place, waiting to begin (Reason for not being in education);"TREE; Swiss Labor Force Survey (SLFS)";"1, 2";Wave-specific;Base (BQ);CATI;1577;1593;1673;1674;"3030208190                    "
Other activities (incl. NEET);Reasons for being out of education and / or employment;Reasons for non-participation in education;Reason for not being in education;reasnoed4;Cannot afford a training place financially (Reason for not being in education);"TREE; Swiss Labor Force Survey (SLFS)";"1, 2";Wave-specific;Base (BQ);CATI;1579;1595;1673;1674;"3030208200                    "
Other activities (incl. NEET);Reasons for being out of education and / or employment;Reasons for non-participation in education;Reason for not being in education;reasnoed8;No interest (Reason for not being in education);"TREE; Swiss Labor Force Survey (SLFS)";"1, 2";Wave-specific;Base (BQ);CATI;1582;1598;1673;1674;"3030208210                    "
Other activities (incl. NEET);Reasons for being out of education and / or employment;Reasons for non-participation in education;Reason for not being in education;reasnoed9;Household work, parenting, care tasks (Reason for not being in education);"TREE; Swiss Labor Force Survey (SLFS)";"1, 2";Wave-specific;Base (BQ);CATI;1578;1594;1673;1674;"3030208220                    "
Other activities (incl. NEET);Reasons for being out of education and / or employment;Reasons for non-participation in education;Reason for not being in education;reasnoed10;Other personal obligations (Reason for not being in education);"TREE; Swiss Labor Force Survey (SLFS)";"1, 2";Wave-specific;Base (BQ);CATI;1580;1596;1673;1674;"3030208230                    "
Other activities (incl. NEET);Reasons for being out of education and / or employment;Reasons for non-participation in education;Reason for not being in education;reasnoed11;I must first do or complete an internship (Reason for not being in education);"TREE; Swiss Labor Force Survey (SLFS)";"1, 2";Wave-specific;Base (BQ);CATI;1574;1590;1673;1674;"3030208240                    "
Other activities (incl. NEET);Reasons for being out of education and / or employment;Reasons for non-participation in education;Reason for not being in education;reasnoed19;Other reasons (Reason for not being in education);"TREE; Swiss Labor Force Survey (SLFS)";"1, 2";Wave-specific;Base (BQ);CATI;1575;1591;1673;1674;"3030208250                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parental appreciation;apprpar_fs;Parental appreciation;Böhm-Kasper et al. (2004);"1";Wave-specific;Complementary (CQ);Web/PP;1955;2022;1018;1018;"4010108480                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parental appreciation;apprpar1;My parents are proud of me (Parental appreciation);Böhm-Kasper et al. (2004);"1";Wave-specific;Complementary (CQ);Web/PP;1152;1152;1018;1018;"4010108490                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parental appreciation;apprpar2;My parents like me the way I am (Parental appreciation);Böhm-Kasper et al. (2004);"1";Wave-specific;Complementary (CQ);Web/PP;1153;1153;1018;1018;"4010108500                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parental appreciation;apprpar3;My parents frequently ask me for my opinion (Parental appreciation);Böhm-Kasper et al. (2004);"1";Wave-specific;Complementary (CQ);Web/PP;1154;1154;1018;1018;"4010108510                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parental appreciation;apprpar4;In my family, I can depend on the others (Parental appreciation);Böhm-Kasper et al. (2004);"1";Wave-specific;Complementary (CQ);Web/PP;1155;1155;1018;1018;"4010108520                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parental appreciation;apprpar5;My parents are very interested in what I think and do (Parental appreciation);Böhm-Kasper et al. (2004);"1";Wave-specific;Complementary (CQ);Web/PP;1156;1156;1018;1018;"4010108530                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parental appreciation;apprpar6;Have my say when important family decisions are at hand (Parental appreciation);Böhm-Kasper et al. (2004);"1";Wave-specific;Complementary (CQ);Web/PP;1157;1157;1018;1018;"4010108540                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Emotional closeness to parents                                            ;closep_comp;Emotional closeness to parents                                            ;"TREE;  Szydlik (2008)";"0, 1";T0, t1_quer;Complementary (CQ);Web/PP;170;407;1872;1873;"4010108550                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Emotional closeness to father;closef;How close are you to your father (Emotional closeness);"TREE;  Szydlik (2008)";"0, 1";T0, t1_quer;Complementary (CQ);Web/PP;688;665;1073;1074;"4010108560                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Emotional closeness to mother;closem;How close are you to your mother (Emotional closeness);"TREE;  Szydlik (2008)";"0, 1";T0, t1_quer;Complementary (CQ);Web/PP;341;290;178;180;"4010108570                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parental pressure to achieve;press_fs;Parental pressure to achieve;Böhm-Kasper et al. (2000);"0";Wave-specific;Base (BQ);CASI/Web/PP;169;590;65;96;"4010108580                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parental pressure to achieve;press1;Parents believe I should outperform others (Parental pressure to achieve);Böhm-Kasper et al. (2000);"0";Wave-specific;Base (BQ);CASI/Web/PP;652;637;65;96;"4010108590                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parental pressure to achieve;press2;Parents believe I can do better in school (Parental pressure to achieve);Böhm-Kasper et al. (2000);"0";Wave-specific;Base (BQ);CASI/Web/PP;281;489;65;96;"4010108600                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parental pressure to achieve;press3;Parents want me to get better marks in school (Parental pressure to achieve);Böhm-Kasper et al. (2000);"0";Wave-specific;Base (BQ);CASI/Web/PP;407;397;65;96;"4010108610                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parental pressure to achieve;press4;Parents want me study more in weak subjects (Parental pressure to achieve);Böhm-Kasper et al. (2000);"0";Wave-specific;Base (BQ);CASI/Web/PP;431;29;65;96;"4010108620                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Parents' achievement expectations [End of lower sec. educ., math-specific];expectp_fs;Parents' achievement expectations;Girnat (2017);"0";Wave-specific;Base (BQ);CASI;160;160;78;106;"4010108630                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Mother's achievement expectations [End of lower sec. educ., math-specific];expectm_fs;Mother's achievement expectations;Girnat (2017);"0";Wave-specific;Base (BQ);CASI;161;161;46;84;"4010108640                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Father's achievement expectations [End of lower sec. educ., math-specific];expectf_fs;Father's achievement expectations;Girnat (2017);"0";Wave-specific;Base (BQ);CASI;162;162;67;98;"4010108650                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Mother's achievement expectations [End of lower sec. educ., math-specific];expectm1;Important to do well in science (Mother's achievement expectations);Girnat (2017);"0";Wave-specific;Base (BQ);CASI;305;547;46;84;"4010108660                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Mother's achievement expectations [End of lower sec. educ., math-specific];expectm2;Important to do well in mathematics (Mother's achievement expectations);Girnat (2017);"0";Wave-specific;Base (BQ);CASI;175;196;46;84;"4010108670                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Mother's achievement expectations [End of lower sec. educ., math-specific];expectm3;Important to do well in test language (Mother's achievement expectations);Girnat (2017);"0";Wave-specific;Base (BQ);CASI;75;182;46;84;"4010108680                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Mother's achievement expectations [End of lower sec. educ., math-specific];expectm4;Expected marks in mathematics (Mother's achievement expectations);Girnat (2017);"0";Wave-specific;Base (BQ);CASI;207;101;46;84;"4010108690                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Father's achievement expectations [End of lower sec. educ., math-specific];expectf1;Important to do well in science (Father's achievement expectations);Girnat (2017);"0";Wave-specific;Base (BQ);CASI;262;127;67;98;"4010108700                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Father's achievement expectations [End of lower sec. educ., math-specific];expectf2;Important to do well in mathematics (Father's achievement expectations);Girnat (2017);"0";Wave-specific;Base (BQ);CASI;375;400;67;98;"4010108710                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Father's achievement expectations [End of lower sec. educ., math-specific];expectf3;Important to do well in test language (Father's achievement expectations);Girnat (2017);"0";Wave-specific;Base (BQ);CASI;510;218;67;98;"4010108720                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Father's achievement expectations [End of lower sec. educ., math-specific];expectf4;Expected marks in mathematics (Father's achievement expectations);Girnat (2017);"0";Wave-specific;Base (BQ);CASI;268;234;67;98;"4010108730                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Mother's social norms about mathematics;socnormsm_fs;Mother's social norms about mathematics;PISA 2012;"0";Wave-specific;Base (BQ);CASI;158;250;204;65;"4010108740                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Father's social norms about mathematics;socnormsf_fs;Father's social norms about mathematics;PISA 2012;"0";Wave-specific;Base (BQ);CASI;159;159;83;111;"4010108750                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Mother's social norms about mathematics;socnormsm2;Important for career to learn math (Mother's social norms about mathematics);PISA 2012;"0";Wave-specific;Base (BQ);CASI;338;307;204;65;"4010108760                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Mother's social norms about mathematics;socnormsm1;Important to learn math (Mother's social norms about mathematics);PISA 2012;"0";Wave-specific;Base (BQ);CASI;337;556;204;65;"4010108770                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Mother's social norms about mathematics;socnormsm3;Likes math (Mother's social norms about mathematics);PISA 2012;"0";Wave-specific;Base (BQ);CASI;69;187;204;65;"4010108780                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Father's social norms about mathematics;socnormsf1;Important to learn math (Father's social norms about mathematics);PISA 2012;"0";Wave-specific;Base (BQ);CASI;289;278;83;111;"4010108790                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Father's social norms about mathematics;socnormsf2;Important for career to learn math (Father's social norms about mathematics);PISA 2012;"0";Wave-specific;Base (BQ);CASI;251;130;83;111;"4010108800                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Father's social norms about mathematics;socnormsf3;Likes math (Father's social norms about mathematics);PISA 2012;"0";Wave-specific;Base (BQ);CASI;734;335;83;111;"4010108810                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Boarding money paid at home;moho1;Provided that you are earning income, do you pay anything at home;TREE;"1";Wave-specific;Complementary (CQ);Web/PP;1186;1186;1042;1042;"4010108820                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Family educational support [PISA2000];famedsup_fs;Family educational support [PISA2000];"";"0";Wave-specific;Base (BQ);CASI/Web/PP;197;242;1163;1164;"4010108830                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Family educational support;famedsup1;Mother helps you with homework (Family educational support);PISA 2000;"0";Wave-specific;Base (BQ);CASI/Web/PP;604;663;60;92;"4010108840                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Family educational support;famedsup2;Father helps you with homework (Family educational support);PISA 2000;"0";Wave-specific;Base (BQ);CASI/Web/PP;266;204;60;92;"4010108850                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Family educational support;famedsup3;Brothers and sisters help you with homework (Family educational support);PISA 2000;"0";Wave-specific;Base (BQ);CASI/Web/PP;581;469;60;92;"4010108860                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Social communication (PISA2000);soccom_fs;Social communication (PISA2000);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;426;392;1181;1182;"4010108940                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Social communication (adapted TREE2);soccom_m_fs;Social communication (adapted TREE2);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;1908;1975;1186;1187;"4010108950                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Social communication;soccom1;How often parents discuss how you are doing in school (Social communication);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;378;505;209;69;"4010108960                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Social communication;soccom2;How often parents eat dinner with you around a table (Social communication);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;379;506;209;69;"4010108970                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Social communication;soccom3;How often parents spend time just talking to you (Social communication);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;566;419;209;69;"4010108980                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Social communication;soccom4;How often parents tell you things about themselves (Social communication);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;567;223;209;69;"4010108990                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Social communication;soccom5;How often parents talk about issue you are interested in (Social communication);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;380;308;209;69;"4010109000                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Household chores;domwrk_fs;Household chores;"ISSP 2012; Scholz et al. (2014)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1982;2049;1037;1037;"4010109050                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Household chores;domwrk1;Cook meals (Household chores);"ISSP 2012; Scholz et al. (2014)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1158;1158;1037;1037;"4010109060                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Household chores;domwrk2;Do the laundry (Household chores);"ISSP 2012; Scholz et al. (2014)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1159;1159;1037;1037;"4010109070                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Household chores;domwrk3;Small repairs in the house/apartment (Household chores);"ISSP 2012; Scholz et al. (2014)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1160;1160;1037;1037;"4010109080                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Household chores;domwrk4;Take care of family members (Household chores);"ISSP 2012; Scholz et al. (2014)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1161;1161;1037;1037;"4010109090                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Household chores;domwrk5;Grocery shopping (Household chores);"ISSP 2012; Scholz et al. (2014)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1162;1162;1037;1037;"4010109100                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Household chores;domwrk6;Clean the apartment/house (Household chores);"ISSP 2012; Scholz et al. (2014)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1163;1163;1037;1037;"4010109110                    "
Family & significant others: family background, social origin & networks;Family background;Family climate;Household chores;domwrk7;Set or clear the table (Household chores);"ISSP 2012; Scholz et al. (2014)";"1, 2";Wave-specific;Complementary (CQ);Web/PP;1164;1164;1037;1037;"4010109120                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Mother's employment status;emplm;Mother's employment status;"TREE; PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI;67;111;205;66;"4010309420                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Father's employment status;emplf;Father's employment status;"TREE; PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI;421;640;121;28;"4010309430                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Mother's occupation (base code SSCO 2000);occupm;Mother's occupation (base code SSCO 2000);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;200;596;145;61;"4010309460                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Mother's occupation (5-digit-code SSCO 2000);occupm_sbn;Mother's occupation (5-digit-code SSCO 2000);"";"0";Wave-specific;Base (BQ);CASI;436;103;1838;1839;"4010309470                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Mother’s occupation: (ISCO-88 classification);occupm_isco88c;Mother’s occupation: (ISCO-88 classification);"TREE; International Standard Classification of Occupations (ISCO-88)";"0";Wave-specific;Base (BQ);CASI;1911;1978;1120;1121;"4010309480                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Mother’s occupation: (ISCO-08 classification);occupm_isco08c;Mother’s occupation: (ISCO-08 classification);"TREE; International Standard Classification of Occupations (ISCO-08)";"0";Wave-specific;Base (BQ);CASI;1912;1979;1139;1140;"4010309490                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Mother’s occupation: (ISEI-88 status);occupm_isei88;Mother’s occupation: (ISEI-88 status);"Ganzeboom, De Graaf, and Treiman (1992); Ganzeboom and Treiman (2019)";"0";Wave-specific;Base (BQ);CASI;474;83;1125;1126;"4010309500                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Mother’s occupation: (ISEI-08 status);occupm_isei08;Mother’s occupation: (ISEI-08 status);"Ganzeboom, De Graaf, and Treiman (1992); Ganzeboom and Treiman (2019)";"0";Wave-specific;Base (BQ);CASI;476;84;169;177;"4010309510                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Mother’s occupational status;soclm;Mother’s occupational status;"NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI;87;232;227;124;"4010309520                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Father's occupation (base code SSCO 2000);occupf;Father's occupation (base code SSCO 2000);"PISA 2000; PISA 2012; Kunter et al. (2002); Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI;624;64;39;13;"4010309550                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Father’s occupation (5-digit-code SSCO 2000);occupf_sbn;Father’s occupation (5-digit-code SSCO 2000);"";"0";Wave-specific;Base (BQ);CASI;383;294;111;139;"4010309560                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Father’s occupation: (ISCO-88 classification);occupf_isco88c;Father’s occupation: (ISCO-88 classification);"TREE; International Standard Classification of Occupations (ISCO-88)";"0";Wave-specific;Base (BQ);CASI;1913;1980;1119;1120;"4010309570                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Father’s occupation: (ISCO-08 classification);occupf_isco08c;Father’s occupation: (ISCO-08 classification);"TREE; International Standard Classification of Occupations (ISCO-08)";"0";Wave-specific;Base (BQ);CASI;1914;1981;124;143;"4010309580                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Father’s occupation: (ISEI-88 status);occupf_isei88;Father’s occupation: (ISEI-88 status);"Ganzeboom, De Graaf, and Treiman (1992); Ganzeboom and Treiman (2019)";"0";Wave-specific;Base (BQ);CASI;491;595;1124;1125;"4010309590                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Father’s occupation: (ISEI-08 status);occupf_isei08;Father’s occupation: (ISEI-08 status);"Ganzeboom, De Graaf, and Treiman (1992); Ganzeboom and Treiman (2019)";"0";Wave-specific;Base (BQ);CASI;179;107;1146;1147;"4010309600                    "
Family & significant others: family background, social origin & networks;Family background;Socio-economic origin;Father’s occupational status;soclf;Father’s occupational status;"NEPS (2013); DAB-Panelstudie (2020)";"0";Wave-specific;Base (BQ);CASI;89;233;125;29;"4010309610                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Social capital (own);Number of close friends;nbfriends;How many close friends do you have;TREE;"0, 1, 2";Wave-specific;Complementary (CQ);Web/PP;671;1257;143;40;"4020109620                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Social capital (own);Perceived social network support;closupp_fs;Perceived social network support;TREE;"0, 1, 2";Wave-specific;Complementary (CQ);Web/PP;23;548;1183;1184;"4020109680                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Social capital (own);Perceived social network support;closupp1;If troubles arise in educ/work can rely on non-family members (Social support 3);TREE;"0, 1, 2";Wave-specific;Complementary (CQ);Web/PP;409;1147;110;20;"4020109690                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Social capital (own);Perceived social network support;closupp2;If you feel down can you rely on close people (Social support 3);TREE;"0, 1, 2";Wave-specific;Complementary (CQ);Web/PP;410;1148;110;20;"4020109700                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Social capital (own);Perceived social network support;closupp3;If troubles arise with a peer can rely on non-family members (Social support 3);TREE;"0, 1, 2";Wave-specific;Complementary (CQ);Web/PP;411;1149;110;20;"4020109710                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Social capital (own);Perceived social network support;closupp4;If need help in finding a job can rely on non-family members (Social support 3);TREE;"0, 1, 2";Wave-specific;Complementary (CQ);Web/PP;382;1150;110;20;"4020109720                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Social capital (own);Perceived social network support;closupp5;If problems arise in family can rely on non-family members (Social support 3);TREE;"0, 1, 2";Wave-specific;Complementary (CQ);Web/PP;660;1151;110;20;"4020109730                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Social capital (own);Generalized Trust;gtrust_comp;Generalized Trust;"WVS/EVS; Inglehart et al. (2000)";"1";Wave-specific;Complementary (CQ);Web/PP;1974;2041;1199;1200;"4020109740                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Social capital (own);General trust;trust;Belief that most people can be trusted (General trust);"WVS/EVS; Inglehart et al. (2000)";"0, 1";T0, t1_quer;Complementary (CQ);Web/PP;106;1262;158;182;"4020109750                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Social capital (own);Fairness;fair;Belief that most people try to be fair (Fairness);"EVS 1999/2000;  Halman (2001)";"1";Wave-specific;Complementary (CQ);Web/PP;1129;1129;1040;1040;"4020109760                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Number of books at home;books;Number of books at home;"PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI;84;227;238;199;"4020209770                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Parental reading interest;joyreadp_comp;Parental reading interest;TREE;"0";Wave-specific;Base (BQ);CASI/Web/PP;558;614;217;156;"4020209780                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Mother's reading interest;joyreadm;Mother's reading interest;TREE;"0";Wave-specific;Base (BQ);CASI/Web/PP;518;222;1877;1878;"4020209790                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Father's reading interest;joyreadf;Father's reading interest;TREE;"0";Wave-specific;Base (BQ);CASI/Web/PP;29;425;1150;1151;"4020209800                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Household possessions: classical culture [PISA2000];cultposs_fs;Household possessions: classical culture [PISA2000];"PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;77;125;1162;1163;"4020209810                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Household possessions: classical culture;cultposs1;Classical literature (Household possessions: classical culture);"PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;711;27;24;59;"4020209820                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Household possessions: classical culture;cultposs2;Books of poetry (Household possessions: classical culture);"PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;634;314;24;59;"4020209830                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Household possessions: classical culture;cultposs3;Works of art (Household possessions: classical culture);"PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;270;377;24;59;"4020209840                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Cultural communication (PISA2000);cultcom_fs;Cultural communication (PISA2000);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;189;591;1180;1181;"4020209850                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Cultural communication (adapted TREE2);cultcom_m_fs;Cultural communication (adapted TREE2);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;1910;1977;1188;1189;"4020209860                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Cultural communication;cultcom1;How often parents discuss politic/social issue with you (Cultural communication);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;358;502;213;73;"4020209870                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Cultural communication;cultcom2;How often parents discuss books, films, TV with you (Cultural communication);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;363;451;213;73;"4020209880                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Cultural communication;cultcom3;How often parents listen to classical music with you (Cultural communication);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;642;620;213;73;"4020209890                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Cultural communication;cultcom4;How often parents talk with you about the world (Cultural communication);"TREE; PISA 2000; Kunter et al. (2002)";"0";Wave-specific;Base (BQ);CASI/Web/PP;364;453;213;73;"4020209900                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Mother's highest educational attainment;medu;Mother's highest educational attainment;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI/Web/PP;7;362;41;15;"4020209902                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Mother's highest completed education;meduc;Mother's highest completed education;"PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI/Web/PP;71;179;55;81;"4020209910                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Mother's type of completed tertiary education;meduct;Mother's type high education;"TREE; PISA 2012; Mang et al. (2018)";"0";Wave-specific;Base (BQ);CASI/Web/PP;225;71;6;45;"4020209940                    "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Mother's highest educational attainment [ISCED 97];misced97;Mother's highest educational attainment;"";"0";Wave-specific;Base (BQ);CASI/Web/PP;132;92;1844;1845;"4020209960.1                  "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Mother's highest educational attainment [composite];medu_comp;Mother's highest educational attainment [composite];"";"0";Wave-specific;Base (BQ);CASI/Web/PP;1876;1943;1070;1071;"4020209960.2                  "
Family & significant others: family background, social origin & networks;Social, cultural & economic resources;Cultural capital (family of origin);Mother's highest completed education [composite];meduc_comp;Mother's highest completed education [composite];"";"0";Wave-specific;Base (BQ);CASI/Web/PP;1872;1939;1066;1067;"4020209960.3                  "
